feature,importance,signed_grad
실업자(천명),0.002500169,0.002500169
0~14세 구성비,0.0031109243,0.0031109243
평균연령,0.0033690538,-0.0033690538
고령인구비율,0.0035077976,0.0035077976
GDP,0.004295408,-0.004295408
근로시간,0.011756903,-0.011756903
가계신용,0.011853664,0.011853664
실업률(%),0.015886111,-0.015886111
중위연령,0.016363498,-0.016363498
환자수(총계),0.017128004,0.017128004
고용률(%),0.017422117,0.017422117
내원일수(총계),0.017567508,0.017567508
요양급여비용총액(총계),0.0178005,0.0178005
비경제활동인구(천명),0.01872356,0.01872356
경제활동인구(천명),0.018916879,-0.018916879
총인구수,0.021766653,0.021766653
가계대출,0.022388,-0.022388
취업자(천명),0.023156745,0.023156745
청구건수(총계),0.023406079,0.023406079
보험자부담금(총계),0.023998784,0.023998784
임금총액,0.024865769,0.024865769
평균근로시간,0.024893511,0.024893511
근로일수,0.02714542,0.02714542
1인당_실질국민총소득(원),0.028856967,0.028856967
경제활동참가율(%),0.030759396,0.030759396
소비자물가상승률(%),0.031060522,0.031060522
15~64세 구성비,0.041133866,0.041133866
판매신용,0.04466553,0.04466553
GNI,0.05195212,-0.05195212
