feature,importance,signed_grad
실업자(천명),0.0010989883,-0.0010989883
보험자부담금(총계),0.001479055,-0.001479055
비경제활동인구(천명),0.0026243036,0.0026243036
요양급여비용총액(총계),0.005208566,0.005208566
실업률(%),0.005351251,0.005351251
가계대출,0.0068845646,-0.0068845646
임금총액,0.0073838704,-0.0073838704
내원일수(총계),0.0085640475,-0.0085640475
GNI,0.00924704,0.00924704
가계신용,0.009639359,-0.009639359
총인구수,0.011200317,-0.011200317
고용률(%),0.01199902,-0.01199902
경제활동인구(천명),0.012043623,-0.012043623
평균근로시간,0.012272774,-0.012272774
고령인구비율,0.012423293,-0.012423293
0~14세 구성비,0.013027001,-0.013027001
청구건수(총계),0.013505073,-0.013505073
취업자(천명),0.016111631,-0.016111631
경제활동참가율(%),0.01797022,-0.01797022
GDP,0.0180614,0.0180614
근로시간,0.020547256,0.020547256
1인당_실질국민총소득(원),0.021294435,-0.021294435
평균연령,0.021311924,0.021311924
환자수(총계),0.024274703,-0.024274703
소비자물가상승률(%),0.030673435,-0.030673435
판매신용,0.032461308,-0.032461308
근로일수,0.0354566,0.0354566
중위연령,0.036059536,0.036059536
15~64세 구성비,0.037055697,-0.037055697
