feature,importance,signed_grad
보험자부담금(총계),0.0009627803,0.0009627803
0~14세 구성비,0.0035581258,0.0035581258
고용률(%),0.0036939932,-0.0036939932
실업률(%),0.004190155,-0.004190155
가계신용,0.0072619556,0.0072619556
GNI,0.0073077707,0.0073077707
비경제활동인구(천명),0.007317716,-0.007317716
경제활동인구(천명),0.007405764,-0.007405764
요양급여비용총액(총계),0.0074316543,0.0074316543
고령인구비율,0.008369954,-0.008369954
실업자(천명),0.008890278,0.008890278
취업자(천명),0.011111364,-0.011111364
경제활동참가율(%),0.014620306,-0.014620306
평균연령,0.016833328,0.016833328
총인구수,0.02217814,-0.02217814
평균근로시간,0.022376133,-0.022376133
내원일수(총계),0.022648387,-0.022648387
환자수(총계),0.02322091,-0.02322091
소비자물가상승률(%),0.02510982,-0.02510982
가계대출,0.03148662,-0.03148662
중위연령,0.03368859,0.03368859
청구건수(총계),0.034726,-0.034726
15~64세 구성비,0.04049038,-0.04049038
GDP,0.041477833,0.041477833
임금총액,0.047119293,-0.047119293
판매신용,0.04825943,-0.04825943
근로시간,0.052337557,0.052337557
1인당_실질국민총소득(원),0.06597501,-0.06597501
근로일수,0.070438825,0.070438825
