feature,importance,signed_grad
경제활동인구(천명),0.0021416936,-0.0021416936
평균연령,0.0056755096,-0.0056755096
요양급여비용총액(총계),0.0071415477,0.0071415477
근로일수,0.008102205,-0.008102205
고령인구비율,0.008634613,0.008634613
내원일수(총계),0.009271062,0.009271062
가계신용,0.009981837,0.009981837
비경제활동인구(천명),0.0104529215,0.0104529215
GDP,0.012755833,-0.012755833
0~14세 구성비,0.012770033,0.012770033
청구건수(총계),0.014547967,0.014547967
임금총액,0.017026402,0.017026402
환자수(총계),0.0177738,0.0177738
보험자부담금(총계),0.020463333,0.020463333
평균근로시간,0.02234773,0.02234773
가계대출,0.024052707,-0.024052707
실업자(천명),0.024739195,-0.024739195
고용률(%),0.026594322,0.026594322
총인구수,0.030177012,0.030177012
1인당_실질국민총소득(원),0.032506596,0.032506596
취업자(천명),0.03444758,0.03444758
소비자물가상승률(%),0.034519807,0.034519807
경제활동참가율(%),0.037925754,0.037925754
실업률(%),0.038737018,-0.038737018
중위연령,0.04040394,-0.04040394
GNI,0.053201817,-0.053201817
근로시간,0.054248262,-0.054248262
15~64세 구성비,0.062900886,0.062900886
판매신용,0.06894079,0.06894079
