feature,importance,signed_grad
15~64세 구성비,7.5727e-05,-7.5727e-05
취업자(천명),0.00013116832,0.00013116832
가계신용,0.00016199588,0.00016199588
보험자부담금(총계),0.00016848235,0.00016848235
중위연령,0.0002561129,-0.0002561129
GDP,0.0005558587,0.0005558587
평균근로시간,0.000594719,0.000594719
근로시간,0.00076826755,-0.00076826755
실업률(%),0.00091358967,0.00091358967
청구건수(총계),0.0010290416,-0.0010290416
평균연령,0.0011596795,-0.0011596795
근로일수,0.0011918957,0.0011918957
고용률(%),0.0013380324,0.0013380324
내원일수(총계),0.0014886023,0.0014886023
0~14세 구성비,0.0015733165,0.0015733165
총인구수,0.0018784965,0.0018784965
1인당_실질국민총소득(원),0.0023163676,0.0023163676
실업자(천명),0.0026406283,0.0026406283
경제활동인구(천명),0.0028428705,0.0028428705
고령인구비율,0.0033937863,-0.0033937863
요양급여비용총액(총계),0.0036637895,0.0036637895
비경제활동인구(천명),0.0037573026,-0.0037573026
가계대출,0.0039622015,0.0039622015
환자수(총계),0.0042213397,0.0042213397
판매신용,0.0044276686,0.0044276686
소비자물가상승률(%),0.004505264,0.004505264
경제활동참가율(%),0.0057872636,0.0057872636
GNI,0.006812593,-0.006812593
임금총액,0.009261821,0.009261821
