feature,importance,signed_grad
평균연령,0.0002230031,0.0002230031
총인구수,0.0003994594,0.0003994594
취업자(천명),0.0012263749,0.0012263749
비경제활동인구(천명),0.00204375,0.00204375
고령인구비율,0.0023876326,-0.0023876326
경제활동인구(천명),0.0028020276,-0.0028020276
실업률(%),0.0028671133,0.0028671133
보험자부담금(총계),0.0033210316,0.0033210316
가계대출,0.0033514122,0.0033514122
청구건수(총계),0.0038215825,-0.0038215825
평균근로시간,0.0042686677,0.0042686677
고용률(%),0.0044695353,-0.0044695353
중위연령,0.004928587,-0.004928587
내원일수(총계),0.0055478103,-0.0055478103
0~14세 구성비,0.0057989648,-0.0057989648
가계신용,0.007616701,0.007616701
실업자(천명),0.008568663,0.008568663
요양급여비용총액(총계),0.008944995,0.008944995
환자수(총계),0.010238359,0.010238359
15~64세 구성비,0.010453627,0.010453627
GNI,0.01161486,-0.01161486
근로일수,0.012558559,-0.012558559
소비자물가상승률(%),0.012949153,0.012949153
GDP,0.013947668,-0.013947668
경제활동참가율(%),0.014279332,0.014279332
근로시간,0.014987123,-0.014987123
1인당_실질국민총소득(원),0.016579304,0.016579304
판매신용,0.018176617,0.018176617
임금총액,0.029846985,0.029846985
