feature,importance,signed_grad
실업률(%),0.00096758176,0.00096758176
고령인구비율,0.0018047956,0.0018047956
경제활동인구(천명),0.00237299,0.00237299
0~14세 구성비,0.0025849731,0.0025849731
GNI,0.0031114982,0.0031114982
요양급여비용총액(총계),0.0035813842,-0.0035813842
비경제활동인구(천명),0.003797276,-0.003797276
고용률(%),0.008286182,-0.008286182
보험자부담금(총계),0.0095405,-0.0095405
소비자물가상승률(%),0.0101073105,-0.0101073105
경제활동참가율(%),0.010204734,-0.010204734
취업자(천명),0.013879298,-0.013879298
가계신용,0.018097589,0.018097589
평균연령,0.018835288,0.018835288
근로시간,0.018897135,0.018897135
환자수(총계),0.018897526,-0.018897526
실업자(천명),0.018939417,0.018939417
총인구수,0.019431023,-0.019431023
근로일수,0.02574449,0.02574449
가계대출,0.025987145,-0.025987145
평균근로시간,0.029048085,-0.029048085
내원일수(총계),0.02957927,-0.02957927
GDP,0.029890537,0.029890537
중위연령,0.031375963,0.031375963
임금총액,0.032554824,-0.032554824
15~64세 구성비,0.032597356,-0.032597356
청구건수(총계),0.037002444,-0.037002444
판매신용,0.038905732,-0.038905732
1인당_실질국민총소득(원),0.050750785,-0.050750785
