feature,importance,signed_grad
고령인구비율,0.0007525198,-0.0007525198
내원일수(총계),0.0013186522,0.0013186522
근로일수,0.0018563159,-0.0018563159
실업자(천명),0.0022772923,0.0022772923
0~14세 구성비,0.0043665897,0.0043665897
평균연령,0.006084381,-0.006084381
비경제활동인구(천명),0.007482951,0.007482951
청구건수(총계),0.008141676,0.008141676
경제활동인구(천명),0.009018173,-0.009018173
총인구수,0.010633485,0.010633485
평균근로시간,0.010754995,0.010754995
고용률(%),0.011271808,0.011271808
가계신용,0.011364635,0.011364635
가계대출,0.011979885,-0.011979885
실업률(%),0.013316974,-0.013316974
요양급여비용총액(총계),0.016308874,0.016308874
취업자(천명),0.019177798,0.019177798
환자수(총계),0.019282065,0.019282065
보험자부담금(총계),0.020306388,0.020306388
GDP,0.02313643,-0.02313643
중위연령,0.025644159,-0.025644159
소비자물가상승률(%),0.027031587,0.027031587
근로시간,0.027123185,-0.027123185
1인당_실질국민총소득(원),0.027443334,0.027443334
임금총액,0.03140722,0.03140722
경제활동참가율(%),0.03660115,0.03660115
GNI,0.03817065,-0.03817065
15~64세 구성비,0.041066617,0.041066617
판매신용,0.044841867,0.044841867
