feature,importance,signed_grad
보험자부담금(총계),0.0010347976,-0.0010347976
실업자(천명),0.002714756,0.002714756
GNI,0.0046654735,0.0046654735
고용률(%),0.005438201,-0.005438201
가계신용,0.007024835,0.007024835
경제활동인구(천명),0.0071483664,-0.0071483664
요양급여비용총액(총계),0.0072697904,0.0072697904
비경제활동인구(천명),0.007425906,-0.007425906
실업률(%),0.008219926,-0.008219926
0~14세 구성비,0.009876868,0.009876868
고령인구비율,0.011749041,-0.011749041
경제활동참가율(%),0.013498694,-0.013498694
취업자(천명),0.013736476,-0.013736476
평균연령,0.019862795,0.019862795
평균근로시간,0.023997594,-0.023997594
소비자물가상승률(%),0.025741482,-0.025741482
내원일수(총계),0.025802042,-0.025802042
총인구수,0.029995251,-0.029995251
환자수(총계),0.03061987,-0.03061987
가계대출,0.032260723,-0.032260723
중위연령,0.038008463,0.038008463
청구건수(총계),0.040577747,-0.040577747
임금총액,0.04299625,-0.04299625
판매신용,0.045805305,-0.045805305
15~64세 구성비,0.047577173,-0.047577173
GDP,0.05199974,0.05199974
근로시간,0.057176493,0.057176493
1인당_실질국민총소득(원),0.06848442,-0.06848442
근로일수,0.07647881,0.07647881
