feature,importance,signed_grad
요양급여비용총액(총계),0.0002793111,0.0002793111
경제활동참가율(%),0.001136044,0.001136044
GNI,0.0015210961,-0.0015210961
총인구수,0.0018262642,-0.0018262642
보험자부담금(총계),0.0023180759,0.0023180759
내원일수(총계),0.002682161,-0.002682161
가계대출,0.0027057996,0.0027057996
청구건수(총계),0.0028526373,0.0028526373
임금총액,0.0030025556,-0.0030025556
실업률(%),0.0064119077,-0.0064119077
고용률(%),0.006586234,0.006586234
취업자(천명),0.006599051,0.006599051
환자수(총계),0.008455537,-0.008455537
경제활동인구(천명),0.008870458,-0.008870458
1인당_실질국민총소득(원),0.009152817,-0.009152817
비경제활동인구(천명),0.01058338,-0.01058338
평균근로시간,0.010610717,0.010610717
평균연령,0.010914173,0.010914173
판매신용,0.011405498,-0.011405498
GDP,0.01369141,0.01369141
0~14세 구성비,0.014035847,-0.014035847
근로시간,0.0171435,0.0171435
실업자(천명),0.017725512,-0.017725512
중위연령,0.01852033,0.01852033
고령인구비율,0.018786348,-0.018786348
15~64세 구성비,0.021567347,-0.021567347
가계신용,0.024157178,-0.024157178
소비자물가상승률(%),0.027950361,-0.027950361
근로일수,0.030766562,0.030766562
