feature,importance,signed_grad
평균연령,0.0015811978,-0.0015811978
0~14세 구성비,0.0016173096,0.0016173096
고령인구비율,0.0017081732,0.0017081732
실업자(천명),0.0029893513,0.0029893513
내원일수(총계),0.005009245,0.005009245
실업률(%),0.0057678637,-0.0057678637
임금총액,0.00819726,0.00819726
가계신용,0.008208384,0.008208384
GDP,0.008245215,-0.008245215
환자수(총계),0.00918106,0.00918106
총인구수,0.009598479,0.009598479
중위연령,0.010021495,-0.010021495
요양급여비용총액(총계),0.010113034,0.010113034
평균근로시간,0.010823901,0.010823901
고용률(%),0.010858592,0.010858592
청구건수(총계),0.011139344,0.011139344
근로시간,0.013233151,-0.013233151
근로일수,0.013245593,0.013245593
가계대출,0.013344925,-0.013344925
경제활동참가율(%),0.014428915,0.014428915
취업자(천명),0.0144618265,0.0144618265
소비자물가상승률(%),0.014966092,0.014966092
경제활동인구(천명),0.015919961,-0.015919961
보험자부담금(총계),0.016974673,0.016974673
비경제활동인구(천명),0.018310633,0.018310633
GNI,0.022885036,-0.022885036
판매신용,0.023403253,0.023403253
1인당_실질국민총소득(원),0.02371233,0.02371233
15~64세 구성비,0.025734344,0.025734344
