feature,importance,signed_grad
GNI,0.0006442843,0.0006442843
요양급여비용총액(총계),0.0039481223,0.0039481223
경제활동인구(천명),0.0056430064,-0.0056430064
가계대출,0.008680195,0.008680195
취업자(천명),0.011369852,-0.011369852
비경제활동인구(천명),0.016111368,-0.016111368
실업률(%),0.019092266,-0.019092266
고용률(%),0.021059353,-0.021059353
경제활동참가율(%),0.02423408,-0.02423408
0~14세 구성비,0.025256075,-0.025256075
보험자부담금(총계),0.028458122,-0.028458122
내원일수(총계),0.029730808,-0.029730808
평균근로시간,0.04236494,-0.04236494
총인구수,0.043306623,-0.043306623
가계신용,0.046294585,-0.046294585
실업자(천명),0.04873076,-0.04873076
고령인구비율,0.04949072,-0.04949072
임금총액,0.0499884,0.0499884
청구건수(총계),0.051314145,-0.051314145
평균연령,0.054713547,0.054713547
1인당_실질국민총소득(원),0.05608973,-0.05608973
판매신용,0.05637978,-0.05637978
근로시간,0.06203669,0.06203669
환자수(총계),0.06893712,-0.06893712
소비자물가상승률(%),0.078821465,-0.078821465
중위연령,0.0796601,0.0796601
근로일수,0.07989309,0.07989309
GDP,0.08791593,0.08791593
15~64세 구성비,0.088510595,-0.088510595
