feature,importance,signed_grad
고령인구비율,0.0024697757,0.0024697757
평균근로시간,0.0025648274,0.0025648274
보험자부담금(총계),0.0042408886,-0.0042408886
가계신용,0.0044955844,0.0044955844
임금총액,0.004797737,0.004797737
GNI,0.0057582706,-0.0057582706
평균연령,0.0062851026,-0.0062851026
가계대출,0.007623095,0.007623095
요양급여비용총액(총계),0.008429667,-0.008429667
고용률(%),0.008510494,0.008510494
0~14세 구성비,0.008804182,0.008804182
GDP,0.00926246,-0.00926246
환자수(총계),0.009706634,0.009706634
총인구수,0.009905877,0.009905877
취업자(천명),0.010995287,0.010995287
내원일수(총계),0.0127978455,-0.0127978455
청구건수(총계),0.013097743,-0.013097743
1인당_실질국민총소득(원),0.013935555,0.013935555
비경제활동인구(천명),0.0139933955,-0.0139933955
실업자(천명),0.014211329,-0.014211329
실업률(%),0.014446644,-0.014446644
소비자물가상승률(%),0.016058004,0.016058004
경제활동참가율(%),0.016737066,0.016737066
경제활동인구(천명),0.018942175,0.018942175
15~64세 구성비,0.01946971,0.01946971
중위연령,0.020773912,-0.020773912
판매신용,0.030234892,0.030234892
근로일수,0.042420536,-0.042420536
근로시간,0.05365384,-0.05365384
