feature,importance,signed_grad
고용률(%),0.0012389729,0.0012389729
0~14세 구성비,0.0014565447,-0.0014565447
실업률(%),0.0018120464,0.0018120464
실업자(천명),0.0030123908,-0.0030123908
보험자부담금(총계),0.0048593017,0.0048593017
GNI,0.0073058,0.0073058
경제활동참가율(%),0.007952252,-0.007952252
경제활동인구(천명),0.008610594,-0.008610594
요양급여비용총액(총계),0.009256497,0.009256497
비경제활동인구(천명),0.01246157,-0.01246157
가계신용,0.013721225,-0.013721225
평균근로시간,0.014841648,-0.014841648
취업자(천명),0.016390052,-0.016390052
평균연령,0.02085403,0.02085403
내원일수(총계),0.02618514,-0.02618514
고령인구비율,0.030755622,-0.030755622
환자수(총계),0.035103854,-0.035103854
청구건수(총계),0.036229637,-0.036229637
소비자물가상승률(%),0.036863334,-0.036863334
총인구수,0.037139274,-0.037139274
임금총액,0.03835182,-0.03835182
가계대출,0.0387751,-0.0387751
판매신용,0.040899746,-0.040899746
중위연령,0.044565253,0.044565253
GDP,0.051957622,0.051957622
15~64세 구성비,0.05246365,-0.05246365
근로시간,0.052803412,0.052803412
1인당_실질국민총소득(원),0.06824203,-0.06824203
근로일수,0.07584776,0.07584776
