feature,importance,signed_grad
15~64세 구성비,3.5458826e-05,3.5458826e-05
가계신용,0.00029562053,-0.00029562053
비경제활동인구(천명),0.00030884112,0.00030884112
취업자(천명),0.00032460847,0.00032460847
평균연령,0.00040075596,-0.00040075596
보험자부담금(총계),0.0006888322,0.0006888322
고용률(%),0.00073066447,0.00073066447
청구건수(총계),0.0007711516,-0.0007711516
내원일수(총계),0.0012559129,-0.0012559129
경제활동인구(천명),0.0013273282,-0.0013273282
가계대출,0.0014249478,0.0014249478
요양급여비용총액(총계),0.0014468844,0.0014468844
중위연령,0.0015963928,0.0015963928
소비자물가상승률(%),0.0016247252,0.0016247252
총인구수,0.0023448765,0.0023448765
고령인구비율,0.0024650008,-0.0024650008
평균근로시간,0.0024799122,0.0024799122
판매신용,0.00248328,0.00248328
근로일수,0.0025536353,-0.0025536353
GNI,0.0027170577,-0.0027170577
근로시간,0.003219338,-0.003219338
GDP,0.0033443728,-0.0033443728
실업자(천명),0.0036211535,0.0036211535
경제활동참가율(%),0.0036319478,0.0036319478
0~14세 구성비,0.003831632,-0.003831632
실업률(%),0.0039621415,0.0039621415
환자수(총계),0.0042551165,0.0042551165
1인당_실질국민총소득(원),0.0059049604,0.0059049604
임금총액,0.007452802,0.007452802
