feature,importance,signed_grad
실업자(천명),0.0009067508,-0.0009067508
평균연령,0.0012710048,-0.0012710048
가계신용,0.0014283317,-0.0014283317
고령인구비율,0.0023013367,-0.0023013367
경제활동인구(천명),0.004091461,-0.004091461
비경제활동인구(천명),0.0050437963,0.0050437963
1인당_실질국민총소득(원),0.005052613,0.005052613
중위연령,0.0058913883,0.0058913883
0~14세 구성비,0.007578001,0.007578001
환자수(총계),0.007644007,0.007644007
보험자부담금(총계),0.008442079,0.008442079
실업률(%),0.010701464,-0.010701464
15~64세 구성비,0.011915019,0.011915019
취업자(천명),0.011941619,0.011941619
요양급여비용총액(총계),0.012586087,0.012586087
경제활동참가율(%),0.013712781,0.013712781
가계대출,0.014177822,-0.014177822
임금총액,0.014317967,0.014317967
판매신용,0.017151464,0.017151464
고용률(%),0.020615485,0.020615485
소비자물가상승률(%),0.02234765,0.02234765
평균근로시간,0.02720276,0.02720276
근로시간,0.028088411,0.028088411
총인구수,0.031269547,0.031269547
청구건수(총계),0.034525916,0.034525916
GDP,0.039197523,0.039197523
내원일수(총계),0.045275424,0.045275424
GNI,0.057073314,-0.057073314
근로일수,0.05864683,0.05864683
