feature,importance,signed_grad
평균연령,5.8234786e-05,5.8234786e-05
가계대출,0.000542647,-0.000542647
고용률(%),0.0006235009,-0.0006235009
청구건수(총계),0.0019573392,-0.0019573392
총인구수,0.002755534,0.002755534
고령인구비율,0.0033926591,-0.0033926591
실업률(%),0.0034469482,0.0034469482
취업자(천명),0.0056061065,0.0056061065
비경제활동인구(천명),0.0066821356,0.0066821356
경제활동인구(천명),0.0068458025,-0.0068458025
평균근로시간,0.007173338,0.007173338
보험자부담금(총계),0.007278585,0.007278585
가계신용,0.007402646,0.007402646
내원일수(총계),0.007424829,-0.007424829
중위연령,0.007635166,-0.007635166
실업자(천명),0.008730318,0.008730318
0~14세 구성비,0.00878443,-0.00878443
요양급여비용총액(총계),0.009951662,0.009951662
소비자물가상승률(%),0.01338674,0.01338674
환자수(총계),0.013542896,0.013542896
근로일수,0.015358295,-0.015358295
GNI,0.015583206,-0.015583206
15~64세 구성비,0.017272696,0.017272696
경제활동참가율(%),0.018987617,0.018987617
GDP,0.021133065,-0.021133065
근로시간,0.021741323,-0.021741323
판매신용,0.022870287,0.022870287
1인당_실질국민총소득(원),0.024039982,0.024039982
임금총액,0.031415246,0.031415246
