feature,importance,signed_grad
요양급여비용총액(총계),0.0014737621,-0.0014737621
실업률(%),0.006717032,-0.006717032
1인당_실질국민총소득(원),0.0077723265,-0.0077723265
경제활동인구(천명),0.009889812,-0.009889812
비경제활동인구(천명),0.010831829,-0.010831829
GNI,0.011089538,0.011089538
총인구수,0.011166901,-0.011166901
취업자(천명),0.012411962,-0.012411962
내원일수(총계),0.012979676,-0.012979676
청구건수(총계),0.01634645,-0.01634645
고용률(%),0.01904099,-0.01904099
보험자부담금(총계),0.020002587,-0.020002587
평균근로시간,0.020134225,-0.020134225
근로시간,0.022534342,0.022534342
경제활동참가율(%),0.023671934,-0.023671934
가계대출,0.025132433,0.025132433
판매신용,0.02718878,-0.02718878
0~14세 구성비,0.030344255,-0.030344255
평균연령,0.035464693,0.035464693
근로일수,0.03564952,0.03564952
고령인구비율,0.036960553,-0.036960553
임금총액,0.038527265,0.038527265
실업자(천명),0.040924132,-0.040924132
환자수(총계),0.044016883,-0.044016883
GDP,0.044102672,0.044102672
가계신용,0.049804524,-0.049804524
중위연령,0.058203682,0.058203682
15~64세 구성비,0.059516106,-0.059516106
소비자물가상승률(%),0.06613174,-0.06613174
