feature,importance,signed_grad
평균근로시간,0.00055874465,0.00055874465
GNI,0.00085528474,0.00085528474
가계신용,0.005053115,0.005053115
환자수(총계),0.0055517172,0.0055517172
보험자부담금(총계),0.0059048086,-0.0059048086
평균연령,0.006746231,-0.006746231
가계대출,0.0075391326,0.0075391326
고령인구비율,0.011077719,0.011077719
GDP,0.012722707,-0.012722707
임금총액,0.0143117905,-0.0143117905
1인당_실질국민총소득(원),0.016019393,0.016019393
소비자물가상승률(%),0.018275231,0.018275231
경제활동참가율(%),0.018392317,0.018392317
내원일수(총계),0.019044451,-0.019044451
총인구수,0.0194751,0.0194751
비경제활동인구(천명),0.019510537,-0.019510537
고용률(%),0.020464808,0.020464808
요양급여비용총액(총계),0.021457668,-0.021457668
0~14세 구성비,0.022386614,0.022386614
청구건수(총계),0.024385367,-0.024385367
취업자(천명),0.026514914,0.026514914
경제활동인구(천명),0.036468204,0.036468204
실업률(%),0.04268723,-0.04268723
15~64세 구성비,0.043785952,0.043785952
실업자(천명),0.046848983,-0.046848983
중위연령,0.04942621,-0.04942621
판매신용,0.061394088,0.061394088
근로일수,0.07825086,-0.07825086
근로시간,0.106162526,-0.106162526
