feature,importance,signed_grad
취업자(천명),0.0003834014,0.0003834014
실업률(%),0.00047256518,0.00047256518
GNI,0.00068090437,-0.00068090437
고용률(%),0.001745807,0.001745807
청구건수(총계),0.0021228727,-0.0021228727
비경제활동인구(천명),0.0026675602,-0.0026675602
실업자(천명),0.0033972054,-0.0033972054
경제활동참가율(%),0.0037582915,-0.0037582915
요양급여비용총액(총계),0.0042663123,0.0042663123
GDP,0.0046256417,0.0046256417
보험자부담금(총계),0.0049943514,0.0049943514
내원일수(총계),0.00562397,-0.00562397
근로시간,0.0066285976,0.0066285976
가계대출,0.0069730068,-0.0069730068
총인구수,0.00703518,-0.00703518
가계신용,0.008369744,-0.008369744
고령인구비율,0.009321207,-0.009321207
환자수(총계),0.009622468,-0.009622468
경제활동인구(천명),0.010055889,-0.010055889
평균근로시간,0.010641611,0.010641611
임금총액,0.0146208275,-0.0146208275
0~14세 구성비,0.014817307,-0.014817307
평균연령,0.015130462,0.015130462
1인당_실질국민총소득(원),0.01847915,-0.01847915
판매신용,0.02012109,-0.02012109
근로일수,0.021555249,0.021555249
중위연령,0.02163966,0.02163966
15~64세 구성비,0.0220814,-0.0220814
소비자물가상승률(%),0.022237103,-0.022237103
