feature,importance,signed_grad
보험자부담금(총계),0.00080460915,0.00080460915
비경제활동인구(천명),0.0023649521,0.0023649521
실업률(%),0.0028911366,-0.0028911366
가계신용,0.0033531422,0.0033531422
실업자(천명),0.0038131867,0.0038131867
GNI,0.006763283,0.006763283
취업자(천명),0.008810355,-0.008810355
가계대출,0.010270767,-0.010270767
고용률(%),0.010774484,-0.010774484
0~14세 구성비,0.014386868,-0.014386868
요양급여비용총액(총계),0.01442693,0.01442693
내원일수(총계),0.016320707,-0.016320707
고령인구비율,0.016766235,-0.016766235
경제활동인구(천명),0.018994298,-0.018994298
경제활동참가율(%),0.020477666,-0.020477666
임금총액,0.025137104,-0.025137104
평균근로시간,0.025141623,-0.025141623
청구건수(총계),0.027682634,-0.027682634
환자수(총계),0.030141894,-0.030141894
총인구수,0.031139322,-0.031139322
평균연령,0.03266087,0.03266087
GDP,0.03424771,0.03424771
중위연령,0.04219936,0.04219936
소비자물가상승률(%),0.04253404,-0.04253404
15~64세 구성비,0.047353677,-0.047353677
1인당_실질국민총소득(원),0.054986417,-0.054986417
근로시간,0.055777237,0.055777237
판매신용,0.05697543,-0.05697543
근로일수,0.07041698,0.07041698
