feature,importance,signed_grad
GNI,0.00019937707,-0.00019937707
내원일수(총계),0.0010832683,-0.0010832683
경제활동참가율(%),0.00119483,-0.00119483
청구건수(총계),0.0014267229,0.0014267229
실업률(%),0.0017683367,-0.0017683367
총인구수,0.0021248297,-0.0021248297
요양급여비용총액(총계),0.002543339,0.002543339
취업자(천명),0.0026362885,0.0026362885
고용률(%),0.0031610883,0.0031610883
가계대출,0.0032280071,-0.0032280071
비경제활동인구(천명),0.003399983,-0.003399983
보험자부담금(총계),0.0049220957,0.0049220957
환자수(총계),0.0050652227,-0.0050652227
GDP,0.0059406185,0.0059406185
실업자(천명),0.0059463507,-0.0059463507
평균근로시간,0.007117603,0.007117603
경제활동인구(천명),0.008462691,-0.008462691
평균연령,0.009197149,0.009197149
임금총액,0.0093812905,-0.0093812905
1인당_실질국민총소득(원),0.010126429,-0.010126429
0~14세 구성비,0.010144673,-0.010144673
고령인구비율,0.010495602,-0.010495602
가계신용,0.011320404,-0.011320404
판매신용,0.012566682,-0.012566682
중위연령,0.012692714,0.012692714
근로시간,0.014377108,0.014377108
15~64세 구성비,0.014417095,-0.014417095
소비자물가상승률(%),0.017867923,-0.017867923
근로일수,0.025106756,0.025106756
