feature,importance,signed_grad
고령인구비율,7.6312106e-05,7.6312106e-05
경제활동인구(천명),0.0021130333,0.0021130333
근로시간,0.0023237467,-0.0023237467
실업자(천명),0.0031547584,-0.0031547584
비경제활동인구(천명),0.003627967,-0.003627967
가계신용,0.005608416,0.005608416
평균연령,0.006439565,-0.006439565
보험자부담금(총계),0.008349711,0.008349711
0~14세 구성비,0.008453039,0.008453039
가계대출,0.009585058,-0.009585058
GDP,0.010711284,0.010711284
요양급여비용총액(총계),0.0109642055,0.0109642055
중위연령,0.011502868,-0.011502868
고용률(%),0.012118872,0.012118872
취업자(천명),0.012191145,0.012191145
1인당_실질국민총소득(원),0.012587374,0.012587374
환자수(총계),0.014356451,0.014356451
실업률(%),0.015367665,-0.015367665
청구건수(총계),0.016215108,0.016215108
근로일수,0.018804472,0.018804472
총인구수,0.02016053,0.02016053
내원일수(총계),0.020752441,0.020752441
평균근로시간,0.021586724,0.021586724
15~64세 구성비,0.023829747,0.023829747
경제활동참가율(%),0.02725155,0.02725155
임금총액,0.028969258,0.028969258
소비자물가상승률(%),0.030199539,0.030199539
판매신용,0.03443957,0.03443957
GNI,0.04669452,-0.04669452
