feature,importance,signed_grad
취업자(천명),0.004370385,-0.004370385
요양급여비용총액(총계),0.006039623,-0.006039623
GNI,0.007451283,-0.007451283
가계대출,0.00868295,-0.00868295
경제활동참가율(%),0.008712333,-0.008712333
고용률(%),0.008715859,-0.008715859
경제활동인구(천명),0.010055866,0.010055866
0~14세 구성비,0.010457951,0.010457951
임금총액,0.022160616,0.022160616
평균근로시간,0.025773505,-0.025773505
보험자부담금(총계),0.028370593,-0.028370593
평균연령,0.02903701,0.02903701
비경제활동인구(천명),0.02998356,-0.02998356
실업률(%),0.030364167,-0.030364167
총인구수,0.031288475,-0.031288475
판매신용,0.031631347,-0.031631347
고령인구비율,0.03340612,-0.03340612
가계신용,0.03340759,-0.03340759
내원일수(총계),0.03383419,-0.03383419
실업자(천명),0.049396094,-0.049396094
소비자물가상승률(%),0.04944343,-0.04944343
청구건수(총계),0.049969614,-0.049969614
환자수(총계),0.055121433,-0.055121433
중위연령,0.05724307,0.05724307
1인당_실질국민총소득(원),0.05732987,-0.05732987
근로시간,0.06062432,0.06062432
15~64세 구성비,0.0716254,-0.0716254
근로일수,0.07752171,0.07752171
GDP,0.09907486,0.09907486
