text,label,emotion,source_model,persona_type,news_title
난 요즘 골든글로브 뭐하는 거야? 일만 서서히 진행인데...,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
내가 여자가 아니라도 이런게 뭔 일이야?,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
아직 집에도 돌아가지도 못했는데... 그 사람들 잔치 같네,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이제까지 한 해에 10일도 집에 못오게 되면...,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
진짜 이런 상식적인 사람들한테 어떻게 상을 준다는 거지?,1,슬픔,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
오늘부터 이틀 동안 연차 빼야 뭔가 ...,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
저녁 늦게까지 야근하고 온 몸살에 빠져서 뭘 어떻게해야할지,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
이제 막 퇴근한 사이에 뉴스 봤는데... 그 어떤 일에도 발끈하지도 못할 것 같다,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
아무튼 내일이 뻔뻔한 백인들 잔치인듯... 내일은 회의 참석해야하는데...,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
내일 회사에서는 한 사람 한 사람씩 뻔뻔한척해야한다는 느낌이 들고,2,불안,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
다시 한 번 생각해 보면 저녁을 안 먹고 집에간 나라도 있을 것 같은데...,3,상처,llama3-8b,직장인,'백인들의 잔치' 골든글로브 뚫었다…또 새 역사 (2020.01.06뉴스데스크MBC)
