feature,importance
평균연령,0.8286588
비경제활동인구(천명),1.2035646
요양급여비용총액(총계),1.374445
환자수(총계),1.534374
가계대출,1.622701
경제활동인구(천명),1.6492453
실업률(%),1.7407287
고령인구비율,1.7586662
소비자물가상승률(%),1.8699393
중위연령,1.8859992
경제활동참가율(%),1.9074352
0~14세 구성비,1.972009
GNI,1.9802865
고용률(%),2.0496275
근로시간,2.0758224
총인구수,2.1898956
보험자부담금(총계),2.2469091
GDP,2.2526038
내원일수(총계),2.3271475
취업자(천명),2.452502
평균근로시간,2.5320783
근로일수,2.9239104
15~64세 구성비,2.9485757
1인당_실질국민총소득(원),3.083427
가계신용,3.2814517
판매신용,3.2955058
실업자(천명),3.4153056
청구건수(총계),3.4409695
임금총액,3.9087944
