feature,importance
0~14세 구성비,0.0023785233
환자수(총계),0.0391248
보험자부담금(총계),0.07048543
요양급여비용총액(총계),0.08422821
근로일수,0.09909028
평균연령,0.18299556
비경제활동인구(천명),0.21349323
청구건수(총계),0.25618595
근로시간,0.4100681
GDP,0.5463052
가계대출,0.58266056
소비자물가상승률(%),0.6505761
고령인구비율,0.680657
평균근로시간,0.7045092
총인구수,0.71643764
1인당_실질국민총소득(원),0.84544677
15~64세 구성비,0.90893316
경제활동인구(천명),0.94146305
판매신용,0.9883872
고용률(%),1.0390921
가계신용,1.1498026
내원일수(총계),1.2501136
임금총액,1.3152583
중위연령,1.4775503
취업자(천명),1.799829
경제활동참가율(%),2.0574615
GNI,2.2265315
실업률(%),2.4158483
실업자(천명),2.7868395
