feature,importance
평균연령,0.7480626
비경제활동인구(천명),1.2905269
환자수(총계),1.413555
요양급여비용총액(총계),1.4316529
가계대출,1.4453332
중위연령,1.6760058
경제활동인구(천명),1.7153944
실업률(%),1.724155
고령인구비율,1.7571201
0~14세 구성비,1.8874251
소비자물가상승률(%),1.8961965
경제활동참가율(%),1.9377413
근로시간,1.9893832
GNI,1.9962356
고용률(%),2.1203394
총인구수,2.1787786
GDP,2.295503
보험자부담금(총계),2.3047488
내원일수(총계),2.3228817
평균근로시간,2.4705458
취업자(천명),2.5518677
근로일수,2.58948
15~64세 구성비,2.764826
1인당_실질국민총소득(원),3.011105
판매신용,3.083763
가계신용,3.3085945
실업자(천명),3.4730382
청구건수(총계),3.552335
임금총액,3.8861508
