feature,importance
평균연령,0.8260464
비경제활동인구(천명),1.2249634
요양급여비용총액(총계),1.3978806
가계대출,1.528841
환자수(총계),1.5308688
경제활동인구(천명),1.6757185
실업률(%),1.7295485
고령인구비율,1.770472
소비자물가상승률(%),1.8535056
중위연령,1.9016366
경제활동참가율(%),1.915957
0~14세 구성비,1.9859295
GNI,2.0009365
고용률(%),2.0932784
근로시간,2.1220193
총인구수,2.2031724
내원일수(총계),2.257915
보험자부담금(총계),2.2743835
GDP,2.2901404
취업자(천명),2.4796555
평균근로시간,2.5028288
근로일수,2.9120662
15~64세 구성비,2.9785326
1인당_실질국민총소득(원),3.1368995
판매신용,3.2524614
가계신용,3.2749758
실업자(천명),3.4377315
청구건수(총계),3.4602518
임금총액,3.8371203
