feature,importance
평균연령,0.9826361
비경제활동인구(천명),1.2732515
요양급여비용총액(총계),1.484726
환자수(총계),1.5066038
경제활동인구(천명),1.6654142
경제활동참가율(%),1.842921
실업률(%),1.8518741
GDP,1.8883955
GNI,1.8913817
고령인구비율,1.9006587
고용률(%),1.9039376
보험자부담금(총계),1.9350079
총인구수,2.0154157
중위연령,2.0421388
가계대출,2.1289396
소비자물가상승률(%),2.1610613
취업자(천명),2.3244667
0~14세 구성비,2.3269274
평균근로시간,2.5571902
15~64세 구성비,2.6128643
내원일수(총계),2.686564
판매신용,2.9853504
1인당_실질국민총소득(원),3.0079396
근로시간,3.3143513
가계신용,3.405532
청구건수(총계),3.5141559
실업자(천명),3.7458658
근로일수,3.9602466
임금총액,4.173648
