feature,importance
평균연령,0.9454004
비경제활동인구(천명),1.3663628
요양급여비용총액(총계),1.5241706
환자수(총계),1.5647438
경제활동인구(천명),1.720139
고령인구비율,1.8508928
실업률(%),1.8668994
경제활동참가율(%),1.8764226
GNI,1.8998826
GDP,1.9587339
고용률(%),1.9659195
보험자부담금(총계),1.9663304
총인구수,1.997931
소비자물가상승률(%),2.0350847
가계대출,2.0498528
중위연령,2.113529
취업자(천명),2.351686
0~14세 구성비,2.3547363
평균근로시간,2.5489342
내원일수(총계),2.6192338
15~64세 구성비,2.702889
1인당_실질국민총소득(원),3.097204
판매신용,3.1584938
근로시간,3.2436886
가계신용,3.3300023
청구건수(총계),3.4900086
실업자(천명),3.6887043
근로일수,3.9064589
임금총액,4.3305464
