feature,importance
평균연령,0.62983507
요양급여비용총액(총계),1.2717576
실업률(%),1.4113748
가계대출,1.4219711
환자수(총계),1.4625382
비경제활동인구(천명),1.4767579
근로일수,1.6468818
근로시간,1.6935179
소비자물가상승률(%),1.9143263
고령인구비율,1.9717228
총인구수,2.0499973
중위연령,2.118042
경제활동인구(천명),2.2041664
0~14세 구성비,2.2860694
경제활동참가율(%),2.323507
GNI,2.4042444
고용률(%),2.4512677
내원일수(총계),2.5021794
보험자부담금(총계),2.5464706
GDP,2.7893648
평균근로시간,2.8862765
취업자(천명),3.2519894
15~64세 구성비,3.2603412
실업자(천명),3.4290504
1인당_실질국민총소득(원),3.4967675
가계신용,3.6143174
청구건수(총계),3.771417
판매신용,3.7960672
임금총액,3.8304555
