feature,importance
평균연령,0.80473787
가계대출,1.067737
요양급여비용총액(총계),1.3264065
실업률(%),1.3977997
비경제활동인구(천명),1.5144782
환자수(총계),1.5706776
소비자물가상승률(%),1.7783029
근로일수,1.7806941
고령인구비율,1.7984807
근로시간,1.8622748
0~14세 구성비,1.8647721
총인구수,2.0614543
중위연령,2.1731584
경제활동인구(천명),2.1759653
내원일수(총계),2.2571054
경제활동참가율(%),2.2665908
GNI,2.346522
고용률(%),2.5001903
보험자부담금(총계),2.5666873
평균근로시간,2.7794352
GDP,2.8625233
실업자(천명),3.1457157
취업자(천명),3.1952434
가계신용,3.2537842
15~64세 구성비,3.3360076
1인당_실질국민총소득(원),3.3900456
청구건수(총계),3.6358707
임금총액,3.7302861
판매신용,3.7924068
