feature,importance
환자수(총계),0.13041735
평균연령,0.21228662
요양급여비용총액(총계),0.21402153
보험자부담금(총계),0.37669906
가계대출,0.46531624
소비자물가상승률(%),0.47913647
근로시간,0.49280328
GDP,0.49512476
0~14세 구성비,0.5436864
비경제활동인구(천명),0.5804789
고령인구비율,0.69286865
15~64세 구성비,0.7190707
근로일수,0.7310184
총인구수,0.7722612
1인당_실질국민총소득(원),0.93848157
판매신용,0.9442488
청구건수(총계),1.0556738
가계신용,1.0735368
내원일수(총계),1.123307
고용률(%),1.1560985
평균근로시간,1.2476187
경제활동인구(천명),1.2562977
중위연령,1.4045331
임금총액,1.7124822
취업자(천명),1.7956576
실업률(%),1.8722193
GNI,2.041153
실업자(천명),2.1379852
경제활동참가율(%),2.4123783
