feature,importance
평균연령,0.48365566
환자수(총계),0.79954493
요양급여비용총액(총계),0.88155925
비경제활동인구(천명),1.0414394
근로일수,1.2367283
총인구수,1.4660304
실업률(%),1.490477
중위연령,1.507628
보험자부담금(총계),1.571001
근로시간,1.5735283
GDP,1.6667724
고용률(%),1.6692779
고령인구비율,1.6776276
소비자물가상승률(%),1.6857837
경제활동인구(천명),1.7046928
0~14세 구성비,1.7705806
가계대출,1.822591
GNI,2.2096443
15~64세 구성비,2.2451515
1인당_실질국민총소득(원),2.3627095
내원일수(총계),2.3675294
취업자(천명),2.4212298
경제활동참가율(%),2.513696
평균근로시간,2.5262396
임금총액,2.8502169
청구건수(총계),2.9394011
판매신용,2.968706
가계신용,2.9776094
실업자(천명),3.2794242
